feature,5d,5d_ir,20d,20d_ir,60d,60d_ir,90d,90d_ir
lhb_inst_buy_count_30d,-0.03576,-0.6104,-0.04968,-0.8452,-0.0604,-1.2192,-0.06234,-1.279
rz_balance_to_amount20,0.07282,0.542,0.10664,0.7969,0.13129,1.2251,0.13796,1.3667
lhb_inst_buy_count_60d,-0.03618,-0.5126,-0.0512,-0.7026,-0.0649,-1.0718,-0.06758,-1.1675
ma_ratio_60,-0.0617,-0.3872,-0.08104,-0.5755,-0.06932,-0.6165,-0.06448,-0.6315
rz_chg_5d_pct_rank,-0.02574,-0.441,-0.03096,-0.5699,-0.01957,-0.4887,-0.01692,-0.4047
rz_chg_5d_pct,-0.02574,-0.441,-0.03096,-0.5699,-0.01957,-0.4887,-0.01692,-0.4047
ret_20d_tdx_l1_rel,-0.05106,-0.407,-0.05984,-0.5009,-0.05,-0.5199,-0.04531,-0.5074
ret_60d_rank,-0.05437,-0.3481,-0.07063,-0.491,-0.06101,-0.5627,-0.06749,-0.6344
ret_60d,-0.05437,-0.3481,-0.07063,-0.491,-0.06101,-0.5627,-0.06749,-0.6344
ret_20d,-0.05579,-0.3611,-0.07029,-0.4778,-0.064,-0.5644,-0.05123,-0.4865
