feature,rank_ic,ic_std,ic_ir,n_days,abs_ic,abs_ir
lhb_inst_buy_count_30d,-0.04968,0.05877,-0.8452,805,0.04968,0.8452
rz_balance_to_amount20,0.10664,0.13381,0.7969,713,0.10664,0.7969
lhb_inst_buy_count_60d,-0.0512,0.07287,-0.7026,805,0.0512,0.7026
ma_ratio_60,-0.08104,0.14082,-0.5755,805,0.08104,0.5755
rz_chg_5d_pct_rank,-0.03096,0.05432,-0.5699,708,0.03096,0.5699
rz_chg_5d_pct,-0.03096,0.05432,-0.5699,708,0.03096,0.5699
ret_20d_tdx_l1_rel,-0.05984,0.11947,-0.5009,805,0.05984,0.5009
ret_60d_rank,-0.07063,0.14383,-0.491,805,0.07063,0.491
ret_60d,-0.07063,0.14383,-0.491,805,0.07063,0.491
ret_20d,-0.07029,0.14709,-0.4778,805,0.07029,0.4778
ret_20d_rank,-0.07029,0.14709,-0.4778,805,0.07029,0.4778
ma_ratio_250,-0.06699,0.14417,-0.4647,805,0.06699,0.4647
ret_60d_tdx_l1_rel,-0.05589,0.12073,-0.4629,805,0.05589,0.4629
ma_ratio_20,-0.06459,0.14072,-0.459,805,0.06459,0.459
vol_z20d_tdx_l1_rel,-0.02927,0.06558,-0.4463,805,0.02927,0.4463
vol_std_5d,-0.07054,0.16385,-0.4305,805,0.07054,0.4305
klen,-0.07038,0.16637,-0.423,805,0.07038,0.423
vol_ratio_5_20,-0.03342,0.08705,-0.3839,805,0.03342,0.3839
range_pos_60,-0.04857,0.12918,-0.376,805,0.04857,0.376
amount_chg_5d_tdx_l1_rel,-0.02218,0.0593,-0.3741,805,0.02218,0.3741
vol_std_20d,-0.07448,0.19926,-0.3738,805,0.07448,0.3738
vol_z20d,-0.03117,0.0845,-0.3689,805,0.03117,0.3689
vol_z20d_rank,-0.03117,0.0845,-0.3689,805,0.03117,0.3689
momentum_diff,0.04969,0.14005,0.3548,805,0.04969,0.3548
kup,-0.0356,0.10638,-0.3346,805,0.0356,0.3346
days_since_lhb,-0.02587,0.0848,-0.3051,805,0.02587,0.3051
ret_5d,-0.0416,0.13767,-0.3022,805,0.0416,0.3022
amount_chg_5d,-0.02232,0.07724,-0.289,805,0.02232,0.289
amount_chg_5d_rank,-0.02232,0.07724,-0.289,805,0.02232,0.289
range_pos_20,-0.03668,0.12768,-0.2873,805,0.03668,0.2873
inst_event_count_60d,-0.01765,0.06364,-0.2774,230,0.01765,0.2774
yjyg_lower_pct,0.0179,0.06536,0.2739,689,0.0179,0.2739
klow,-0.02651,0.10098,-0.2625,805,0.02651,0.2625
shareholder_count_qoq,-0.01514,0.05777,-0.2622,624,0.01514,0.2622
yjyg_upper_pct,0.01593,0.06108,0.2608,689,0.01593,0.2608
exec_buy_ge1_count_90d,0.00455,0.01763,0.2578,805,0.00455,0.2578
ma_ratio_5,-0.03018,0.13974,-0.216,805,0.03018,0.216
inst_count_qoq,-0.01331,0.08595,-0.1549,624,0.01331,0.1549
eps_basic,-0.02609,0.1766,-0.1477,689,0.02609,0.1477
kmid,-0.01961,0.13351,-0.1469,805,0.01961,0.1469
roe,-0.0235,0.17794,-0.1321,689,0.0235,0.1321
qfii_count_qoq,-0.00609,0.04908,-0.124,624,0.00609,0.124
rz_balance_rank,-0.01735,0.15452,-0.1123,713,0.01735,0.1123
rz_balance,-0.01735,0.15452,-0.1123,713,0.01735,0.1123
exec_buy_count_90d,0.00395,0.0398,0.0993,805,0.00395,0.0993
ret_1d,-0.01239,0.13566,-0.0913,805,0.01239,0.0913
shareholder_plan_decrease_count_180d,0.00588,0.06575,0.0894,245,0.00588,0.0894
fund_count_qoq,0.00717,0.08325,0.0862,624,0.00717,0.0862
days_since_exec_buy,0.00761,0.09163,0.083,805,0.00761,0.083
shareholder_plan_decrease_amount_max_180d,0.00099,0.01352,0.073,140,0.00099,0.073
days_since_shareholder_plan_decrease,0.00426,0.0592,0.0719,245,0.00426,0.0719
shareholder_plan_completed_count_180d,0.00358,0.05475,0.0655,245,0.00358,0.0655
ksft,-0.00737,0.12986,-0.0567,805,0.00737,0.0567
shareholder_plan_increase_amount_max_180d,0.00132,0.02499,0.053,245,0.00132,0.053
jgdy_count_60d,0.00159,0.04359,0.0366,75,0.00159,0.0366
days_since_shareholder_plan_increase,-0.00092,0.03044,-0.0302,245,0.00092,0.0302
shareholder_plan_increase_count_180d,0.00036,0.02819,0.0128,245,0.00036,0.0128
inst_event_count_30d,0.00063,0.05742,0.0109,193,0.00063,0.0109
