dif_sign,vol_bin,amt_bin,p60_bin,stage,n,win_rate,avg_ret,med_ret,avg_dd,med_dd,sharpe,calmar,score
below_zero,温量,额温,高位,4,951,0.8875,0.3082,0.2474,-0.047,-0.0242,3.782,6.55,5.813
below_zero,平量,额平,高位,4,1628,0.8581,0.3006,0.2511,-0.0544,-0.0377,3.412,5.523,4.739
below_zero,缩量,额减,高位,4,425,0.8447,0.2902,0.1955,-0.052,-0.0377,2.611,5.578,4.712
below_zero,平量,额平,中位,4,2832,0.91,0.2988,0.2399,-0.0724,-0.0597,3.941,4.127,3.755
below_zero,爆量,额爆,高位,4,474,0.8291,0.2937,0.2396,-0.0652,-0.0405,3.354,4.506,3.736
below_zero,温量,额温,中位,4,1090,0.9073,0.2983,0.2433,-0.0725,-0.0587,4.219,4.113,3.732
below_zero,缩量,额减,中位,4,1020,0.899,0.2963,0.2407,-0.0716,-0.0597,3.581,4.136,3.718
below_zero,爆量,额爆,中位,4,388,0.8737,0.297,0.2621,-0.0803,-0.069,3.704,3.697,3.23
above_zero,平量,额平,新高,4,213,0.7371,0.1868,0.1247,-0.0583,-0.0294,2.564,3.204,2.362
below_zero,平量,额平,深底,4,272,0.875,0.2743,0.23,-0.1078,-0.0947,3.814,2.545,2.227
above_zero,平量,额平,高位,4,480,0.6458,0.2052,0.1023,-0.0819,-0.0666,2.014,2.506,1.618
below_zero,缩量,额减,高位,3,345,0.7507,0.115,0.0797,-0.0548,-0.0333,2.147,2.098,1.575
below_zero,缩量,额减,中位,1,674,0.773,0.1327,0.0992,-0.0672,-0.046,2.694,1.975,1.526
below_zero,平量,额平,中位,1,269,0.7732,0.1268,0.1095,-0.0662,-0.0409,2.695,1.915,1.48
below_zero,缩量,额减,高位,1,519,0.6917,0.0904,0.0571,-0.0451,-0.0306,2.445,2.002,1.385
above_zero,温量,额温,高位,4,264,0.6288,0.1995,0.1014,-0.0951,-0.085,2.031,2.098,1.319
below_zero,温量,额温,高位,?,1435,0.6592,0.107,0.0618,-0.0637,-0.0462,1.83,1.678,1.106
below_zero,温量,额温,中位,?,1392,0.671,0.1361,0.0729,-0.0863,-0.0693,1.96,1.576,1.058
below_zero,缩量,额减,高位,?,938,0.6706,0.0991,0.0456,-0.0634,-0.0518,1.563,1.562,1.048
below_zero,缩量,额减,中位,3,455,0.6879,0.1288,0.08,-0.0849,-0.0564,2.139,1.518,1.044
below_zero,平量,额平,高位,3,1178,0.6604,0.0984,0.0532,-0.0635,-0.0447,1.751,1.549,1.023
below_zero,缩量,额减,中位,?,2452,0.6827,0.1127,0.0651,-0.0779,-0.0609,2.097,1.447,0.988
below_zero,温量,额温,高位,3,473,0.6364,0.1183,0.0626,-0.0784,-0.0544,1.801,1.508,0.96
