stock_code,formula_id,trials,validation_ratio,baseline_status,baseline_reason,baseline_variant_id,baseline_sell_rule,baseline_holding_days,baseline_source_score,baseline_score,baseline_signal_count,baseline_win_rate,baseline_avg_ret,baseline_avg_dd,baseline_calmar,baseline_delay_buy_rate,baseline_delay_sell_rate,baseline_train_signal_count,baseline_train_win_rate,baseline_train_avg_ret,baseline_train_avg_dd,baseline_train_calmar,baseline_train_delay_buy_rate,baseline_train_delay_sell_rate,baseline_train_score,baseline_validation_signal_count,baseline_validation_win_rate,baseline_validation_avg_ret,baseline_validation_avg_dd,baseline_validation_calmar,baseline_validation_delay_buy_rate,baseline_validation_delay_sell_rate,baseline_validation_score,optuna_status,optuna_reason,optuna_sell_rule,optuna_holding_days,optuna_signal_count,optuna_win_rate,optuna_avg_ret,optuna_avg_dd,optuna_calmar,optuna_delay_buy_rate,optuna_delay_sell_rate,optuna_score,optuna_train_signal_count,optuna_train_win_rate,optuna_train_avg_ret,optuna_train_avg_dd,optuna_train_calmar,optuna_train_delay_buy_rate,optuna_train_delay_sell_rate,optuna_train_score,optuna_validation_signal_count,optuna_validation_win_rate,optuna_validation_avg_ret,optuna_validation_avg_dd,optuna_validation_calmar,optuna_validation_delay_buy_rate,optuna_validation_delay_sell_rate,optuna_validation_score,score_delta,validation_score_delta,execution_model,optuna_params,adoption_decision,adoption_reason
002718,activity_breakout,24,0.300000,ok,,default,fixed_60,60,79.447552,79.447552,88,0.761364,0.315652,-0.130855,2.412238,0.034091,0.011364,62,0.661290,0.070298,-0.156016,0.450584,0.032258,0.000000,66.769050,26,1.000000,0.900727,-0.070854,12.712463,0.038462,0.038462,94.230769,ok,,fixed_60,60,38,0.842105,0.341105,-0.124466,2.740554,0.000000,0.000000,83.965930,27,0.777778,0.070111,-0.140667,0.498420,0.000000,0.000000,70.825434,11,1.000000,1.006273,-0.084700,11.880434,0.000000,0.000000,95.000000,4.518377,0.769231,vwap_tradable_v1,"{""big_bull_line"": 8.5, ""max_close_ret"": 8.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 6, ""strong_line"": 3.5, ""x15_multiplier"": 1.6}",candidate,passes_guardrails
688700,activity_breakout,24,0.300000,ok,,classic_capped,fixed_20,20,65.015516,65.015516,72,0.541667,0.075083,-0.099699,0.753103,0.000000,0.000000,50,0.520000,0.078640,-0.100524,0.782301,0.000000,0.000000,64.511504,22,0.590909,0.067000,-0.097823,0.684912,0.000000,0.000000,66.151835,ok,,fixed_20,20,57,0.631579,0.088898,-0.098963,0.898296,0.000000,0.017544,68.263412,40,0.600000,0.082655,-0.094420,0.875397,0.000000,0.025000,67.126986,17,0.705882,0.103588,-0.109653,0.944692,0.000000,0.000000,70.899930,3.247896,4.748095,vwap_tradable_v1,"{""big_bull_line"": 9.0, ""max_close_ret"": 11.0, ""min_close_ret"": 0.5, ""signal_cooldown_days"": 6, ""strong_line"": 4.5, ""x15_multiplier"": 1.2}",candidate,passes_guardrails
688700,gs_pullback_confirm,24,0.300000,ok,,default,fixed_30,30,-14.038761,-14.038761,4,0.000000,-0.100550,-0.252325,-0.398494,0.000000,0.000000,3,0.000000,-0.105100,-0.257967,-0.407417,0.000000,0.000000,-15.879367,1,0.000000,-0.086900,-0.235400,-0.369159,0.000000,0.000000,-21.266935,ok,,fixed_5,5,9,0.444444,0.031111,-0.069578,0.447141,0.000000,0.000000,49.657164,6,0.166667,-0.019467,-0.085283,-0.228259,0.000000,0.000000,9.787210,3,1.000000,0.132267,-0.038167,3.465502,0.000000,0.000000,83.485229,63.695925,104.752164,vwap_tradable_v1,"{""ma_pull_high"": 0.96, ""ma_pull_low"": 0.8400000000000001, ""maxlen_max"": 13, ""maxrun_max"": 10, ""rate_min"": 25, ""sellpct_max"": 45}",reject,baseline_score<0.0; win_rate<0.45
301658,volume_base_breakout,24,0.300000,ok,,long_quiet_box,fixed_30,30,77.572216,77.572216,2,1.000000,0.290800,-0.105900,2.745987,0.000000,0.000000,1,1.000000,0.497300,-0.106200,4.682674,0.000000,0.000000,80.578859,1,1.000000,0.084300,-0.105600,0.798295,0.000000,0.000000,64.570336,ok,,fixed_30,30,3,1.000000,0.389667,-0.083567,4.662944,0.000000,0.000000,86.157718,2,1.000000,0.542350,-0.072550,7.475534,0.000000,0.000000,83.842282,1,1.000000,0.084300,-0.105600,0.798295,0.000000,0.000000,64.570336,8.585502,0.000000,vwap_tradable_v1,"{""amount_spike_ratio"": 2.6, ""base_ceiling"": 1.46, ""base_floor"": 0.85, ""base_max_days"": 80, ""base_min_days"": 45, ""base_range_max"": 0.41000000000000003, ""breakout_max_extension"": 1.1, ""breakout_near_high"": 0.93, ""dry_ratio"": 0.5, ""signal_cooldown_days"": 8, ""spike_lookback"": 70, ""spike_ratio"": 2.0, ""warm_ret_max"": 0.2, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.85}",reject,signals<6; validation_signals<3
301511,volume_base_breakout,24,0.300000,ok,,default_broad,fixed_20,20,72.824181,72.824181,20,0.650000,0.169780,-0.101980,1.664836,0.000000,0.000000,14,0.571429,0.108007,-0.097829,1.104045,0.000000,0.000000,67.663082,6,0.833333,0.313917,-0.111667,2.811194,0.000000,0.000000,79.717807,ok,,formula_exit_or_5,5,3,1.000000,0.067700,-0.035467,1.908835,0.000000,0.000000,75.701891,2,1.000000,0.057700,-0.018800,3.069149,0.000000,0.000000,79.188027,1,1.000000,0.087700,-0.068800,1.274709,0.000000,0.000000,66.952405,2.877710,-12.765402,vwap_tradable_v1,"{""amount_spike_ratio"": 3.2, ""base_ceiling"": 1.5, ""base_floor"": 0.79, ""base_max_days"": 75, ""base_min_days"": 30, ""base_range_max"": 0.35, ""breakout_max_extension"": 1.09, ""breakout_near_high"": 0.93, ""dry_ratio"": 0.39999999999999997, ""signal_cooldown_days"": 10, ""spike_lookback"": 70, ""spike_ratio"": 2.2, ""warm_ret_max"": 0.26, ""warm_ret_min"": -0.01, ""warm_vol_ratio"": 0.75}",reject,delta<3.0; signals<6; validation_signals<3; validation_delta<0.0
301658,gs_raw_buy,24,0.300000,ok,,wide_band_cooldown,fixed_60,60,67.680085,67.680085,9,0.555556,0.154089,-0.102989,1.496170,0.000000,0.000000,6,0.333333,0.012200,-0.126150,0.096710,0.000000,0.000000,32.245388,3,1.000000,0.437867,-0.056667,7.727059,0.000000,0.000000,86.157718,ok,,fixed_20,20,11,0.545455,0.104591,-0.076936,1.359447,0.000000,0.000000,68.160871,8,0.375000,0.030137,-0.081787,0.368485,0.000000,0.000000,45.845741,3,1.000000,0.303133,-0.064000,4.736458,0.000000,0.000000,86.157718,0.480786,0.000000,vwap_tradable_v1,"{""down_adjust"": 0.96, ""ema_fallback_span"": 3, ""iterations"": 11, ""signal_cooldown_days"": 11, ""up_adjust"": 1.01, ""x3_ma_windows"": [3, 5, 10, 20]}",reject,delta<3.0
301511,activity_breakout,24,0.300000,ok,,strict_capped,formula_exit_or_20,20,66.250880,66.250880,35,0.542857,0.056271,-0.053583,1.050176,0.028571,0.000000,25,0.480000,0.019152,-0.057576,0.332639,0.040000,0.000000,45.239193,10,0.700000,0.149070,-0.043600,3.419037,0.000000,0.000000,82.394864,ok,,fixed_10,10,30,0.600000,0.059943,-0.085803,0.698613,0.000000,0.000000,66.493066,21,0.714286,0.070100,-0.078086,0.897731,0.000000,0.000000,70.917229,9,0.333333,0.036244,-0.103811,0.349138,0.000000,0.000000,48.400482,0.242186,-33.994382,vwap_tradable_v1,"{""big_bull_line"": 5.5, ""max_close_ret"": 10.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 13, ""strong_line"": 3.5, ""x15_multiplier"": 1.7000000000000002}",reject,delta<3.0; validation_win_rate<0.45; validation_delta<0.0
301658,ma_base_breakout,24,0.300000,missing_baseline_result,stock_formula_best.csv has no row for this stock/formula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,,fixed_30,30,3,1.000000,0.524067,-0.102833,5.096272,0.000000,0.000000,86.157718,2,1.000000,0.493950,-0.109850,4.496586,0.000000,0.000000,83.842282,1,1.000000,0.584300,-0.088800,6.579955,0.000000,0.000000,80.578859,,,vwap_tradable_v1,"{""below_days_min"": 25, ""breakout_recent_days"": 3, ""long_ma"": 180, ""ma5_rising_min"": 6, ""mid_ma"": 120, ""price_top_buffer"": 1.04, ""short_ma"": 6}",reject,baseline_status=missing_baseline_result; signals<6; validation_signals<3
688700,ma_base_breakout,24,0.300000,ok,,strict_120_180,fixed_10,10,80.578859,80.578859,1,1.000000,0.121300,-0.014000,8.664286,0.000000,0.000000,1,1.000000,0.121300,-0.014000,8.664286,0.000000,0.000000,80.578859,,,,,,,,,ok,,fixed_10,10,1,1.000000,0.121300,-0.014000,8.664286,0.000000,0.000000,80.578859,1,1.000000,0.121300,-0.014000,8.664286,0.000000,0.000000,80.578859,,,,,,,,,0.000000,,vwap_tradable_v1,"{""below_days_min"": 55, ""breakout_recent_days"": 7, ""long_ma"": 180, ""ma5_rising_min"": 7, ""mid_ma"": 120, ""price_top_buffer"": 1.08, ""short_ma"": 4}",reject,delta<3.0; signals<6; validation_signals<3; validation_win_rate<0.45; validation_avg_ret<=0; validation_delta<0.0
002718,ma_base_breakout,24,0.300000,missing_baseline_result,stock_formula_best.csv has no row for this stock/formula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,,fixed_20,20,1,1.000000,0.186900,-0.040200,4.649254,0.000000,0.000000,80.578859,1,1.000000,0.186900,-0.040200,4.649254,0.000000,0.000000,80.578859,,,,,,,,,,,vwap_tradable_v1,"{""below_days_min"": 70, ""breakout_recent_days"": 6, ""long_ma"": 180, ""ma5_rising_min"": 6, ""mid_ma"": 120, ""price_top_buffer"": 1.06, ""short_ma"": 10}",reject,baseline_status=missing_baseline_result; signals<6; validation_signals<3; validation_win_rate<0.45; validation_avg_ret<=0
