stock_code,formula_id,trials,validation_ratio,baseline_status,baseline_reason,baseline_investigation,baseline_variant_id,baseline_sell_rule,baseline_holding_days,baseline_source_score,baseline_score,baseline_signal_count,baseline_win_rate,baseline_avg_ret,baseline_avg_dd,baseline_calmar,baseline_delay_buy_rate,baseline_delay_sell_rate,baseline_train_signal_count,baseline_train_win_rate,baseline_train_avg_ret,baseline_train_avg_dd,baseline_train_calmar,baseline_train_delay_buy_rate,baseline_train_delay_sell_rate,baseline_train_score,baseline_validation_signal_count,baseline_validation_win_rate,baseline_validation_avg_ret,baseline_validation_avg_dd,baseline_validation_calmar,baseline_validation_delay_buy_rate,baseline_validation_delay_sell_rate,baseline_validation_score,optuna_status,optuna_reason,optuna_investigation,optuna_sell_rule,optuna_holding_days,optuna_signal_count,optuna_win_rate,optuna_avg_ret,optuna_avg_dd,optuna_calmar,optuna_delay_buy_rate,optuna_delay_sell_rate,optuna_score,optuna_train_signal_count,optuna_train_win_rate,optuna_train_avg_ret,optuna_train_avg_dd,optuna_train_calmar,optuna_train_delay_buy_rate,optuna_train_delay_sell_rate,optuna_train_score,optuna_validation_signal_count,optuna_validation_win_rate,optuna_validation_avg_ret,optuna_validation_avg_dd,optuna_validation_calmar,optuna_validation_delay_buy_rate,optuna_validation_delay_sell_rate,optuna_validation_score,score_delta,validation_score_delta,execution_model,optuna_params
002322,ma_base_breakout,24,0.300000,ok,,,default,fixed_60,60,-30.684434,-30.684434,1,0.000000,-0.068900,-0.272700,-0.252659,1.000000,0.000000,1,0.000000,-0.068900,-0.272700,-0.252659,1.000000,0.000000,-30.684434,,,,,,,,,ok,,,fixed_20,20,3,1.000000,0.123200,-0.011767,10.470255,0.000000,0.000000,86.157718,2,1.000000,0.176450,0.000000,35.290000,0.000000,0.000000,83.842282,1,1.000000,0.016700,-0.035300,0.473088,0.000000,0.000000,46.294298,116.842152,,vwap_tradable_v1,"{""below_days_min"": 45, ""breakout_recent_days"": 6, ""long_ma"": 120, ""ma5_rising_min"": 8, ""mid_ma"": 90, ""price_top_buffer"": 1.06, ""short_ma"": 10}"
603027,ma_base_breakout,24,0.300000,ok,,,default,formula_exit_or_5,5,-33.907718,-33.907718,2,0.000000,-0.045500,0.000000,-9.100000,0.000000,0.000000,1,0.000000,-0.050800,0.000000,-10.160000,0.000000,0.000000,-39.421141,1,0.000000,-0.040200,0.000000,-8.040000,0.000000,0.000000,-34.521141,ok,,,formula_exit_or_15,15,2,1.000000,0.037600,0.000000,7.520000,0.000000,0.000000,77.642282,1,1.000000,0.064600,0.000000,12.920000,0.000000,0.000000,80.578859,1,1.000000,0.010600,0.000000,2.120000,0.000000,0.000000,51.478859,111.550000,86.000000,vwap_tradable_v1,"{""below_days_min"": 40, ""breakout_recent_days"": 8, ""long_ma"": 120, ""ma5_rising_min"": 6, ""mid_ma"": 90, ""price_top_buffer"": 1.02, ""short_ma"": 9}"
300769,gs_pullback_confirm,24,0.300000,ok,,,default,formula_exit_or_60,60,-18.726333,-18.726333,2,0.000000,-0.165650,-0.322450,-0.513723,0.000000,0.000000,1,0.000000,-0.159600,-0.317500,-0.502677,0.000000,0.000000,-21.934527,1,0.000000,-0.171700,-0.327400,-0.524435,0.000000,0.000000,-22.043316,ok,,,fixed_20,20,8,1.000000,0.253012,-0.039050,6.479193,0.000000,0.000000,92.684564,6,1.000000,0.209350,-0.045400,4.611233,0.000000,0.000000,90.661837,2,1.000000,0.384000,-0.020000,19.200000,0.000000,0.000000,83.842282,111.410897,105.885598,vwap_tradable_v1,"{""ma_pull_high"": 1.01, ""ma_pull_low"": 0.8200000000000001, ""maxlen_max"": 14, ""maxrun_max"": 9, ""rate_min"": 25, ""sellpct_max"": 65}"
600117,ma_base_breakout,24,0.300000,ok,,,default,fixed_30,30,-18.857855,-18.857855,2,0.000000,-0.118050,-0.218600,-0.540027,0.000000,0.000000,1,0.000000,-0.099600,-0.203000,-0.490640,0.000000,0.000000,-21.874343,1,0.000000,-0.136500,-0.234200,-0.582835,0.000000,0.000000,-22.335317,ok,,,fixed_60,60,6,1.000000,0.334783,-0.066567,5.029294,0.000000,0.000000,90.661837,4,1.000000,0.292450,-0.095125,3.074376,0.000000,0.000000,83.325588,2,1.000000,0.419450,-0.009450,44.386243,0.000000,0.000000,83.842282,109.519692,106.177599,vwap_tradable_v1,"{""below_days_min"": 35, ""breakout_recent_days"": 8, ""long_ma"": 120, ""ma5_rising_min"": 4, ""mid_ma"": 90, ""price_top_buffer"": 1.04, ""short_ma"": 8}"
600938,ma_base_breakout,24,0.300000,ok,,,strict_120_180,fixed_15,15,-22.566675,-22.566675,1,0.000000,-0.045100,-0.040300,-1.119107,0.000000,0.000000,1,0.000000,-0.045100,-0.040300,-1.119107,0.000000,0.000000,-22.566675,,,,,,,,,ok,,,fixed_60,60,6,0.833333,0.143267,-0.028533,5.021028,0.000000,0.000000,85.661837,4,1.000000,0.179425,0.000000,35.885000,0.000000,0.000000,87.953709,2,0.500000,0.070950,-0.085600,0.828855,0.000000,0.000000,52.986558,108.228512,,vwap_tradable_v1,"{""below_days_min"": 40, ""breakout_recent_days"": 7, ""long_ma"": 120, ""ma5_rising_min"": 4, ""mid_ma"": 90, ""price_top_buffer"": 1.03, ""short_ma"": 10}"
605179,gs_pullback_confirm,24,0.300000,ok,,,default,formula_exit_or_30,30,-21.791982,-21.791982,1,0.000000,-0.175300,-0.369700,-0.474168,0.000000,0.000000,1,0.000000,-0.175300,-0.369700,-0.474168,0.000000,0.000000,-21.791982,,,,,,,,,ok,,,fixed_10,10,3,1.000000,0.738500,-0.035100,21.039886,0.000000,0.000000,86.157718,2,1.000000,0.666150,-0.030550,21.805237,0.000000,0.000000,83.842282,1,1.000000,0.883200,-0.044200,19.981900,0.000000,0.000000,80.578859,107.949700,,vwap_tradable_v1,"{""ma_pull_high"": 0.98, ""ma_pull_low"": 0.8400000000000001, ""maxlen_max"": 21, ""maxrun_max"": 7, ""rate_min"": 25, ""sellpct_max"": 70}"
600470,ma_base_breakout,24,0.300000,ok,,,default,fixed_5,5,-22.272615,-22.272615,1,0.000000,-0.050300,-0.088200,-0.570295,0.000000,0.000000,1,0.000000,-0.050300,-0.088200,-0.570295,0.000000,0.000000,-22.272615,,,,,,,,,ok,,,fixed_60,60,2,1.000000,0.434400,-0.087950,4.939170,0.000000,0.000000,83.842282,1,1.000000,0.413300,-0.086100,4.800232,0.000000,0.000000,80.578859,1,1.000000,0.455500,-0.089800,5.072383,0.000000,0.000000,80.578859,106.114897,,vwap_tradable_v1,"{""below_days_min"": 60, ""breakout_recent_days"": 8, ""long_ma"": 120, ""ma5_rising_min"": 4, ""mid_ma"": 90, ""price_top_buffer"": 1.03, ""short_ma"": 7}"
300776,ma_base_breakout,24,0.300000,ok,,,default,fixed_20,20,-21.059044,-21.059044,1,0.000000,-0.049300,-0.124000,-0.397581,0.000000,0.000000,1,0.000000,-0.049300,-0.124000,-0.397581,0.000000,0.000000,-21.059044,,,,,,,,,ok,,,fixed_10,10,2,1.000000,0.225500,-0.030800,7.321429,0.000000,0.000000,83.842282,1,1.000000,0.214100,-0.019200,11.151042,0.000000,0.000000,80.578859,1,1.000000,0.236900,-0.042400,5.587264,0.000000,0.000000,80.578859,104.901326,,vwap_tradable_v1,"{""below_days_min"": 35, ""breakout_recent_days"": 5, ""long_ma"": 145, ""ma5_rising_min"": 5, ""mid_ma"": 120, ""price_top_buffer"": 1.07, ""short_ma"": 10}"
002560,ma_base_breakout,24,0.300000,ok,,,default,fixed_20,20,-32.948478,-32.948478,1,0.000000,-0.080000,-0.113400,-0.705467,1.000000,0.000000,1,0.000000,-0.080000,-0.113400,-0.705467,1.000000,0.000000,-32.948478,,,,,,,,,ok,,,fixed_20,20,1,1.000000,0.106200,-0.050500,2.102970,0.000000,0.000000,71.093710,1,1.000000,0.106200,-0.050500,2.102970,0.000000,0.000000,71.093710,,,,,,,,,104.042188,,vwap_tradable_v1,"{""below_days_min"": 60, ""breakout_recent_days"": 8, ""long_ma"": 180, ""ma5_rising_min"": 6, ""mid_ma"": 120, ""price_top_buffer"": 1.07, ""short_ma"": 9}"
300237,ma_base_breakout,24,0.300000,ok,,,strict_120_180,fixed_60,60,-23.252567,-23.252567,1,0.000000,-0.174100,-0.227200,-0.766285,0.000000,0.000000,1,0.000000,-0.174100,-0.227200,-0.766285,0.000000,0.000000,-23.252567,,,,,,,,,ok,,,fixed_5,5,1,1.000000,0.159800,-0.024300,6.576132,0.000000,0.000000,80.578859,1,1.000000,0.159800,-0.024300,6.576132,0.000000,0.000000,80.578859,,,,,,,,,103.831426,,vwap_tradable_v1,"{""below_days_min"": 30, ""breakout_recent_days"": 5, ""long_ma"": 120, ""ma5_rising_min"": 4, ""mid_ma"": 90, ""price_top_buffer"": 1.01, ""short_ma"": 8}"
