stock_code,formula_id,merge_decision,merge_reason,old_variant_id,new_variant_id,old_sell_rule,new_sell_rule,old_score,new_score,score_delta,old_validation_score,new_validation_score,validation_score_delta,new_signal_count,new_validation_signal_count,new_win_rate,new_validation_win_rate,new_avg_ret,new_validation_avg_ret,trials,validation_ratio,replacement_params
301087,gs_pullback_confirm,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,fixed_15,fixed_15,13.928709,78.588262,64.659553,-21.871141,62.691642,84.562783,19,6,0.736842,0.666667,0.069321,0.042967,24,0.300000,"{""ma_pull_high"": 1.04, ""ma_pull_low"": 0.8, ""maxlen_max"": 20, ""maxrun_max"": 12, ""rate_min"": 25, ""sellpct_max"": 45}"
002320,gs_pullback_confirm,replace,passes_adoption_guardrails,loose,local_optuna_t24_vsplit,formula_exit_or_5,fixed_20,32.564452,95.000000,62.435548,35.695189,87.953709,52.258520,14,4,1.000000,1.000000,0.210271,0.349000,24,0.300000,"{""ma_pull_high"": 1.04, ""ma_pull_low"": 0.8600000000000001, ""maxlen_max"": 24, ""maxrun_max"": 7, ""rate_min"": 25, ""sellpct_max"": 45}"
688266,gs_pullback_confirm,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,fixed_60,fixed_60,23.472764,84.817776,61.345012,-20.381209,80.316927,100.698137,17,5,1.000000,1.000000,0.186353,0.172720,24,0.300000,"{""ma_pull_high"": 1.03, ""ma_pull_low"": 0.76, ""maxlen_max"": 24, ""maxrun_max"": 5, ""rate_min"": 35, ""sellpct_max"": 40}"
301186,gs_pullback_confirm,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,fixed_5,fixed_5,1.779224,57.298797,55.519573,8.050074,83.526615,75.476541,10,3,0.500000,1.000000,0.037240,0.128067,24,0.300000,"{""ma_pull_high"": 1.02, ""ma_pull_low"": 0.78, ""maxlen_max"": 24, ""maxrun_max"": 11, ""rate_min"": 25, ""sellpct_max"": 60}"
000596,activity_breakout,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,fixed_60,fixed_10,38.882384,92.060620,53.178237,-1.490246,76.032587,77.522834,11,3,1.000000,1.000000,0.066009,0.063133,24,0.300000,"{""big_bull_line"": 9.0, ""max_close_ret"": 9.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 12, ""strong_line"": 3.0, ""x15_multiplier"": 1.3}"
300007,gs_pullback_confirm,replace,passes_adoption_guardrails,loose,local_optuna_t24_vsplit,formula_exit_or_30,formula_exit_or_30,16.374206,65.952954,49.578748,-4.456082,36.510822,40.966905,13,4,0.615385,0.750000,0.074792,0.001775,24,0.300000,"{""ma_pull_high"": 1.03, ""ma_pull_low"": 0.7000000000000001, ""maxlen_max"": 22, ""maxrun_max"": 11, ""rate_min"": 30, ""sellpct_max"": 60}"
600993,gs_pullback_confirm,replace,passes_adoption_guardrails,loose,local_optuna_t24_vsplit,formula_exit_or_30,formula_exit_or_30,37.535031,86.141693,48.606662,-5.815495,32.839327,38.654822,11,3,0.909091,0.666667,0.073127,0.001467,24,0.300000,"{""ma_pull_high"": 1.0, ""ma_pull_low"": 0.8800000000000001, ""maxlen_max"": 22, ""maxrun_max"": 12, ""rate_min"": 35, ""sellpct_max"": 45}"
000786,activity_breakout,replace,passes_adoption_guardrails,strict_capped,local_optuna_t24_vsplit,fixed_60,fixed_10,32.795212,80.959600,48.164388,13.924367,47.900530,33.976163,9,3,0.777778,0.666667,0.048744,0.026033,24,0.300000,"{""big_bull_line"": 8.0, ""max_close_ret"": 14.0, ""min_close_ret"": 2.0, ""signal_cooldown_days"": 14, ""strong_line"": 3.5, ""x15_multiplier"": 1.0}"
601326,volume_base_breakout,replace,passes_adoption_guardrails,case_301511_broad,local_optuna_t24_vsplit,fixed_60,fixed_10,38.720713,86.774143,48.053430,8.830776,30.788747,21.957971,12,4,0.750000,0.500000,0.051558,0.004175,24,0.300000,"{""amount_spike_ratio"": 2.0, ""base_ceiling"": 1.46, ""base_floor"": 0.88, ""base_max_days"": 110, ""base_min_days"": 25, ""base_range_max"": 0.35, ""breakout_max_extension"": 1.05, ""breakout_near_high"": 0.97, ""dry_ratio"": 0.55, ""signal_cooldown_days"": 15, ""spike_lookback"": 120, ""spike_ratio"": 2.0, ""warm_ret_max"": 0.16, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 1.05}"
603429,volume_base_breakout,replace,passes_adoption_guardrails,case_301511_broad,local_optuna_t24_vsplit,fixed_20,fixed_20,31.296570,78.342642,47.046072,61.565459,77.019909,15.454450,9,3,0.777778,1.000000,0.174344,0.204933,24,0.300000,"{""amount_spike_ratio"": 2.0, ""base_ceiling"": 1.3399999999999999, ""base_floor"": 0.75, ""base_max_days"": 110, ""base_min_days"": 35, ""base_range_max"": 0.31, ""breakout_max_extension"": 1.07, ""breakout_near_high"": 0.91, ""dry_ratio"": 0.35, ""signal_cooldown_days"": 11, ""spike_lookback"": 120, ""spike_ratio"": 2.8, ""warm_ret_max"": 0.28, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 1.05}"
