formula_id,variant_id,stock_code,sell_rule,holding_days,signal_count,win_rate,avg_ret,avg_dd,calmar,delay_buy_rate,delay_sell_rate,score,params
activity_breakout,local_optuna_t24_vsplit,000001,fixed_10,10,22,0.545455,0.016973,-0.007841,2.164638,0.000000,0.000000,55.673188,"{""big_bull_line"": 6.0, ""max_close_ret"": 13.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 3.0, ""x15_multiplier"": 1.7000000000000002}"
activity_breakout,local_optuna_t24_vsplit,000006,fixed_60,60,69,0.507246,0.123048,-0.134865,0.912376,0.014493,0.000000,64.634345,"{""big_bull_line"": 5.0, ""max_close_ret"": 9.0, ""min_close_ret"": -0.5, ""signal_cooldown_days"": 8, ""strong_line"": 4.0, ""x15_multiplier"": 1.7000000000000002}"
activity_breakout,local_optuna_t24_vsplit,000010,fixed_60,60,56,0.517857,0.054361,-0.184555,0.294550,0.017857,0.000000,61.829891,"{""big_bull_line"": 7.0, ""max_close_ret"": 9.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.5, ""x15_multiplier"": 1.8}"
gs_pullback_confirm,local_optuna_t24_vsplit,000026,formula_exit_or_60,60,10,1.000000,0.026540,-0.096610,0.274713,0.000000,0.000000,63.943245,"{""ma_pull_high"": 1.03, ""ma_pull_low"": 0.76, ""maxlen_max"": 22, ""maxrun_max"": 10, ""rate_min"": 30, ""sellpct_max"": 55}"
volume_base_breakout,local_optuna_t24_vsplit,000026,formula_exit_or_10,10,10,0.900000,0.060900,-0.025750,2.365049,0.000000,0.000000,83.124924,"{""amount_spike_ratio"": 2.8, ""base_ceiling"": 1.44, ""base_floor"": 0.84, ""base_max_days"": 95, ""base_min_days"": 20, ""base_range_max"": 0.41000000000000003, ""breakout_max_extension"": 1.07, ""breakout_near_high"": 0.92, ""dry_ratio"": 0.39999999999999997, ""signal_cooldown_days"": 10, ""spike_lookback"": 70, ""spike_ratio"": 3.0, ""warm_ret_max"": 0.18, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 1.0}"
activity_breakout,local_optuna_t24_vsplit,000028,fixed_20,20,21,0.523810,0.041300,-0.042867,0.963453,0.000000,0.000000,61.181549,"{""big_bull_line"": 8.0, ""max_close_ret"": 14.0, ""min_close_ret"": 1.0, ""signal_cooldown_days"": 11, ""strong_line"": 4.0, ""x15_multiplier"": 1.6}"
activity_breakout,local_optuna_t24_vsplit,000035,fixed_30,30,53,0.641509,0.053566,-0.087509,0.612117,0.018868,0.000000,67.117190,"{""big_bull_line"": 5.0, ""max_close_ret"": 14.0, ""min_close_ret"": 2.0, ""signal_cooldown_days"": 6, ""strong_line"": 3.0, ""x15_multiplier"": 1.6}"
gs_raw_buy,local_optuna_t24_vsplit,000037,fixed_60,60,32,0.593750,0.056462,-0.140725,0.401226,0.093750,0.000000,63.881129,"{""down_adjust"": 0.97, ""ema_fallback_span"": 4, ""iterations"": 8, ""signal_cooldown_days"": 10, ""up_adjust"": 1.03, ""x3_ma_windows"": [3, 8, 13, 21]}"
activity_breakout,local_optuna_t24_vsplit,000058,fixed_5,5,17,0.705882,0.039618,-0.051365,0.771301,0.000000,0.058824,64.253564,"{""big_bull_line"": 9.0, ""max_close_ret"": 12.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 13, ""strong_line"": 3.0, ""x15_multiplier"": 1.1}"
activity_breakout,local_optuna_t24_vsplit,000065,fixed_20,20,41,0.609756,0.037495,-0.075037,0.499691,0.000000,0.000000,59.538700,"{""big_bull_line"": 7.5, ""max_close_ret"": 10.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 11, ""strong_line"": 4.5, ""x15_multiplier"": 1.7000000000000002}"
gs_raw_buy,local_optuna_t24_vsplit,000089,formula_exit_or_5,5,38,0.526316,0.004918,-0.013568,0.362490,0.000000,0.000000,40.061136,"{""down_adjust"": 0.97, ""ema_fallback_span"": 4, ""iterations"": 10, ""signal_cooldown_days"": 15, ""up_adjust"": 1.01, ""x3_ma_windows"": [3, 8, 13, 21]}"
gs_raw_buy,local_optuna_t24_vsplit,000153,fixed_20,20,30,0.666667,0.021663,-0.041023,0.528073,0.000000,0.000000,53.472034,"{""down_adjust"": 0.97, ""ema_fallback_span"": 3, ""iterations"": 9, ""signal_cooldown_days"": 15, ""up_adjust"": 1.01, ""x3_ma_windows"": [3, 8, 13, 21]}"
activity_breakout,local_optuna_t24_vsplit,000156,formula_exit_or_5,5,32,0.750000,0.014578,-0.011556,1.261493,0.000000,0.000000,56.096526,"{""big_bull_line"": 7.0, ""max_close_ret"": 14.0, ""min_close_ret"": -1.0, ""signal_cooldown_days"": 14, ""strong_line"": 3.5, ""x15_multiplier"": 1.8}"
gs_raw_buy,local_optuna_t24_vsplit,000301,fixed_30,30,25,0.680000,0.038912,-0.077100,0.504695,0.000000,0.000000,62.379476,"{""down_adjust"": 0.96, ""ema_fallback_span"": 7, ""iterations"": 6, ""signal_cooldown_days"": 10, ""up_adjust"": 1.03, ""x3_ma_windows"": [5, 10, 20, 30]}"
gs_pullback_confirm,local_optuna_t24_vsplit,000404,fixed_5,5,13,0.846154,0.042862,-0.020015,2.141430,0.000000,0.000000,77.522533,"{""ma_pull_high"": 0.96, ""ma_pull_low"": 0.7000000000000001, ""maxlen_max"": 20, ""maxrun_max"": 12, ""rate_min"": 50, ""sellpct_max"": 75}"
volume_base_breakout,local_optuna_t24_vsplit,000408,fixed_60,60,10,1.000000,0.201450,-0.040110,5.022438,0.100000,0.000000,93.299681,"{""amount_spike_ratio"": 3.2, ""base_ceiling"": 1.38, ""base_floor"": 0.77, ""base_max_days"": 105, ""base_min_days"": 35, ""base_range_max"": 0.41000000000000003, ""breakout_max_extension"": 1.06, ""breakout_near_high"": 0.9, ""dry_ratio"": 0.5, ""signal_cooldown_days"": 15, ""spike_lookback"": 120, ""spike_ratio"": 2.6, ""warm_ret_max"": 0.24, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 0.9}"
