stock_code,formula_id,merge_decision,merge_reason,old_variant_id,new_variant_id,old_sell_rule,new_sell_rule,old_score,new_score,score_delta,old_validation_score,new_validation_score,validation_score_delta,new_signal_count,new_validation_signal_count,new_win_rate,new_validation_win_rate,new_avg_ret,new_validation_avg_ret,trials,validation_ratio,replacement_params
002718,activity_breakout,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,fixed_60,fixed_60,79.447552,83.965930,4.518377,94.230769,95.000000,0.769231,38,11,0.842105,1.000000,0.341105,1.006273,24,0.300000,"{""big_bull_line"": 8.5, ""max_close_ret"": 8.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 6, ""strong_line"": 3.5, ""x15_multiplier"": 1.6}"
688700,activity_breakout,replace,passes_adoption_guardrails,classic_capped,local_optuna_t24_vsplit,fixed_20,fixed_20,65.015516,68.263412,3.247896,66.151835,70.899930,4.748095,57,17,0.631579,0.705882,0.088898,0.103588,24,0.300000,"{""big_bull_line"": 9.0, ""max_close_ret"": 11.0, ""min_close_ret"": 0.5, ""signal_cooldown_days"": 6, ""strong_line"": 4.5, ""x15_multiplier"": 1.2}"
688700,gs_pullback_confirm,reject,baseline_score<0.0; win_rate<0.45,,,,,,,,,,,,,,,,,,,
301658,volume_base_breakout,reject,signals<6; validation_signals<3,,,,,,,,,,,,,,,,,,,
301511,volume_base_breakout,reject,delta<3.0; signals<6; validation_signals<3; validation_delta<0.0,,,,,,,,,,,,,,,,,,,
301658,gs_raw_buy,reject,delta<3.0,,,,,,,,,,,,,,,,,,,
301511,activity_breakout,reject,delta<3.0; validation_win_rate<0.45; validation_delta<0.0,,,,,,,,,,,,,,,,,,,
301658,ma_base_breakout,reject,baseline_status=missing_baseline_result; signals<6; validation_signals<3,,,,,,,,,,,,,,,,,,,
688700,ma_base_breakout,reject,delta<3.0; signals<6; validation_signals<3; validation_win_rate<0.45; validation_avg_ret<=0; validation_delta<0.0,,,,,,,,,,,,,,,,,,,
002718,ma_base_breakout,reject,baseline_status=missing_baseline_result; signals<6; validation_signals<3; validation_win_rate<0.45; validation_avg_ret<=0,,,,,,,,,,,,,,,,,,,
301511,gs_pullback_confirm,reject,baseline_status=missing_baseline_result; optuna_status=missing_optuna_result,,,,,,,,,,,,,,,,,,,
301511,ma_base_breakout,reject,baseline_status=missing_baseline_result; optuna_status=missing_optuna_result,,,,,,,,,,,,,,,,,,,
301658,gs_pullback_confirm,reject,baseline_score<0.0; delta<3.0; signals<6; win_rate<0.45; avg_ret<=0; validation_signals<3; validation_win_rate<0.45; validation_avg_ret<=0,,,,,,,,,,,,,,,,,,,
002718,gs_pullback_confirm,reject,delta<3.0; validation_delta<0.0,,,,,,,,,,,,,,,,,,,
301658,activity_breakout,reject,delta<3.0; signals<6; validation_signals<3; validation_delta<0.0,,,,,,,,,,,,,,,,,,,
688700,gs_raw_buy,reject,delta<3.0,,,,,,,,,,,,,,,,,,,
688700,volume_base_breakout,reject,delta<3.0; signals<6; validation_signals<3; validation_delta<0.0,,,,,,,,,,,,,,,,,,,
002718,gs_raw_buy,reject,delta<3.0; validation_delta<0.0,,,,,,,,,,,,,,,,,,,
301511,gs_raw_buy,reject,delta<3.0; win_rate<0.45; validation_win_rate<0.45; validation_avg_ret<=0; validation_delta<0.0,,,,,,,,,,,,,,,,,,,
002718,volume_base_breakout,reject,delta<3.0; validation_delta<0.0,,,,,,,,,,,,,,,,,,,
