formula_id,variant_id,sell_rule,holding_days,trade_count,win_rate,avg_ret,avg_dd,calmar,delay_buy_rate,delay_sell_rate,score,execution_model
activity_breakout,default,fixed_60,60,402986,0.442164,0.022252,-0.168228,0.132271,0.020589,0.002640,44.819891,vwap_tradable_v1
activity_breakout,default,fixed_20,20,420573,0.469937,0.013089,-0.103532,0.126427,0.020558,0.003940,41.029892,vwap_tradable_v1
activity_breakout,default,fixed_30,30,415805,0.450175,0.012485,-0.125304,0.099635,0.020579,0.004305,39.996926,vwap_tradable_v1
activity_breakout,default,fixed_15,15,422706,0.475659,0.009514,-0.091888,0.103541,0.020539,0.003421,39.304995,vwap_tradable_v1
activity_breakout,default,formula_exit_or_60,60,430487,0.428961,0.009968,-0.042777,0.233028,0.020570,0.017174,38.640637,vwap_tradable_v1
activity_breakout,default,fixed_10,10,425451,0.479146,0.006654,-0.077799,0.085525,0.020486,0.003831,37.885695,vwap_tradable_v1
activity_breakout,default,fixed_5,5,428030,0.472266,0.003309,-0.058519,0.056547,0.020564,0.004053,35.859076,vwap_tradable_v1
gs_pullback_confirm,default,fixed_60,60,30931,0.460347,0.024117,-0.148007,0.162947,0.007339,0.004171,46.568716,vwap_tradable_v1
gs_pullback_confirm,default,formula_exit_or_60,60,33290,0.494983,0.013035,-0.080447,0.162039,0.007660,0.018654,41.914304,vwap_tradable_v1
gs_pullback_confirm,default,fixed_30,30,32694,0.419802,0.003145,-0.113862,0.027622,0.007494,0.002019,34.209611,vwap_tradable_v1
gs_pullback_confirm,default,fixed_5,5,33143,0.444106,-0.002766,-0.050266,-0.055031,0.007694,0.002987,31.558124,vwap_tradable_v1
gs_pullback_confirm,default,fixed_20,20,32868,0.414263,-0.002883,-0.095342,-0.030243,0.007637,0.002708,30.731546,vwap_tradable_v1
gs_pullback_confirm,default,fixed_10,10,33087,0.430592,-0.004986,-0.070087,-0.071137,0.007677,0.003053,29.961895,vwap_tradable_v1
gs_pullback_confirm,default,fixed_15,15,32935,0.411720,-0.005595,-0.084958,-0.065856,0.007651,0.003370,29.114634,vwap_tradable_v1
gs_raw_buy,default,fixed_60,60,231474,0.466856,0.024847,-0.142746,0.174066,0.013051,0.002298,47.146118,vwap_tradable_v1
gs_raw_buy,default,fixed_20,20,242255,0.478661,0.008382,-0.082570,0.101514,0.012908,0.004380,38.885522,vwap_tradable_v1
gs_raw_buy,default,formula_exit_or_60,60,246579,0.354089,0.012847,-0.039071,0.328814,0.012986,0.017090,38.389523,vwap_tradable_v1
gs_raw_buy,default,fixed_30,30,238251,0.455616,0.008171,-0.103258,0.079128,0.012957,0.003001,37.989832,vwap_tradable_v1
gs_raw_buy,default,fixed_15,15,243365,0.480673,0.004171,-0.072074,0.057868,0.012890,0.002248,36.643526,vwap_tradable_v1
gs_raw_buy,default,fixed_5,5,246131,0.482394,0.002338,-0.041993,0.055676,0.012961,0.003189,35.757701,vwap_tradable_v1
gs_raw_buy,default,fixed_10,10,244621,0.478491,0.002375,-0.058548,0.040559,0.012873,0.002359,35.592556,vwap_tradable_v1
ma_base_breakout,default,fixed_60,60,1208,0.407285,-0.016545,-0.171304,-0.096582,0.037252,0.001656,23.074084,vwap_tradable_v1
ma_base_breakout,default,fixed_5,5,1259,0.351867,-0.016929,-0.061200,-0.276615,0.036537,0.003971,20.303421,vwap_tradable_v1
ma_base_breakout,default,fixed_10,10,1234,0.362237,-0.019311,-0.079097,-0.244147,0.037277,0.001621,19.601793,vwap_tradable_v1
ma_base_breakout,default,fixed_30,30,1213,0.349547,-0.021203,-0.125703,-0.168678,0.037098,0.003298,18.637360,vwap_tradable_v1
ma_base_breakout,default,formula_exit_or_60,60,1278,0.191706,-0.012662,-0.049171,-0.257508,0.035994,0.018779,17.584877,vwap_tradable_v1
ma_base_breakout,default,fixed_15,15,1226,0.362969,-0.024042,-0.094707,-0.253858,0.037520,0.005710,17.166438,vwap_tradable_v1
ma_base_breakout,default,fixed_20,20,1221,0.344799,-0.026241,-0.107499,-0.244108,0.037674,0.001638,15.609601,vwap_tradable_v1
volume_base_breakout,default_broad,fixed_60,60,176565,0.442234,0.018352,-0.147251,0.124633,0.012375,0.002396,42.918617,vwap_tradable_v1
volume_base_breakout,default_broad,fixed_30,30,181489,0.443762,0.007836,-0.104733,0.074819,0.012408,0.002909,37.451805,vwap_tradable_v1
volume_base_breakout,default_broad,fixed_15,15,183520,0.462832,0.003812,-0.074239,0.051353,0.012380,0.002719,35.896956,vwap_tradable_v1
volume_base_breakout,default_broad,fixed_10,10,184306,0.467098,0.003115,-0.060516,0.051476,0.012365,0.002952,35.674717,vwap_tradable_v1
volume_base_breakout,default_broad,fixed_5,5,185536,0.471693,0.002358,-0.043749,0.053907,0.012397,0.003180,35.443730,vwap_tradable_v1
volume_base_breakout,default_broad,fixed_20,20,182561,0.452588,0.003460,-0.085807,0.040321,0.012412,0.004179,35.343260,vwap_tradable_v1
volume_base_breakout,default_broad,formula_exit_or_60,60,186224,0.321011,0.009034,-0.038702,0.233435,0.012415,0.015718,35.033402,vwap_tradable_v1
