stock_code,strategy_id,formula_id,display_name,best_holding_days,signal_count,win_rate,avg_ret,avg_dd,calmar,effectiveness_score,effectiveness_label,untradable_rate,completion_rate,best_sell_rule,best_sell_rule_score,params
000001,formula_activity_breakout,activity_breakout,活跃度大牛突破,10,10,0.400000,-0.001130,-0.003170,-0.226000,17.000000,样本陈旧,0.000000,1.000000,fixed_10,29.604681,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
000001,formula_gs_pullback_confirm,gs_pullback_confirm,GS回调确认,5,4,0.000000,-0.012750,0.000000,,,样本不足,0.000000,1.000000,fixed_5,-6.171291,{}
000001,formula_gs_raw_buy,gs_raw_buy,GS原始买点,20,37,0.297297,0.011441,-0.005773,1.981742,0.000000,退化中,0.000000,1.000000,formula_exit_or_20,44.547897,"{""down_adjust"": 0.97, ""iterations"": 8, ""signal_cooldown_days"": 12, ""up_adjust"": 1.03}"
000001,formula_volume_base_breakout,volume_base_breakout,巨量蓄势启动,5,3,1.000000,0.018033,-0.004367,,,样本不足,0.000000,1.000000,fixed_5,68.207718,"{""amount_spike_ratio"": 3.0, ""base_ceiling"": 1.25, ""base_floor"": 0.85, ""base_max_days"": 90, ""base_min_days"": 35, ""base_range_max"": 0.3, ""breakout_max_extension"": 1.06, ""breakout_near_high"": 0.97, ""dry_ratio"": 0.4, ""signal_cooldown_days"": 15, ""spike_lookback"": 90, ""spike_ratio"": 3.0, ""warm_ret_max"": 0.2, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 1.0}"
000002,formula_activity_breakout,activity_breakout,活跃度大牛突破,5,30,0.400000,0.011787,-0.028160,0.418561,0.000000,退化中,0.033300,1.000000,formula_exit_or_5,39.652803,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
000002,formula_gs_raw_buy,gs_raw_buy,GS原始买点,15,40,0.300000,0.014908,-0.027823,0.535807,0.000000,退化中,0.000000,1.000000,formula_exit_or_15,39.132787,"{""ema_fallback_span"": 3, ""iterations"": 8, ""signal_cooldown_days"": 8, ""x3_ma_windows"": [3, 5, 10, 20]}"
000002,formula_ma_base_breakout,ma_base_breakout,均线筑底突破,15,1,1.000000,0.001600,-0.069900,,,样本不足,0.000000,1.000000,fixed_15,36.493308,"{""below_days_min"": 60, ""long_ma"": 180, ""ma5_rising_min"": 10, ""mid_ma"": 120, ""price_top_buffer"": 1.03, ""short_ma"": 8}"
000002,formula_volume_base_breakout,volume_base_breakout,巨量蓄势启动,5,1,1.000000,0.006100,-0.034900,,,样本不足,0.000000,1.000000,fixed_5,39.502784,"{""amount_spike_ratio"": 2.5, ""base_ceiling"": 1.3, ""base_floor"": 0.82, ""base_max_days"": 110, ""base_min_days"": 45, ""base_range_max"": 0.32, ""breakout_near_high"": 0.95, ""dry_ratio"": 0.45, ""signal_cooldown_days"": 15, ""spike_lookback"": 120, ""spike_ratio"": 2.5, ""warm_ret_max"": 0.22, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.9}"
000004,formula_activity_breakout,activity_breakout,活跃度大牛突破,10,151,0.397351,0.000486,-0.055946,0.008689,7.800000,稳定/不明显,0.053000,1.000000,formula_exit_or_10,34.085338,{}
000004,formula_gs_pullback_confirm,gs_pullback_confirm,GS回调确认,15,14,0.571429,0.154986,-0.114857,1.349378,0.000000,样本陈旧,0.285700,1.000000,fixed_15,66.032605,{}
