formula_id,variant_id,sell_rule,holding_days,stock_count,trade_count,win_rate,avg_ret,avg_dd,calmar,delay_buy_rate,delay_sell_rate,score,elapsed_sec,execution_model,params
activity_breakout,strict_capped,fixed_60,60,5201,172552,0.447900,0.023663,-0.162223,0.145870,0.017345,0.002272,45.801898,132.949128,vwap_tradable_v1,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
activity_breakout,classic_capped,fixed_60,60,5201,216465,0.447199,0.023230,-0.161811,0.143565,0.019934,0.002319,45.526447,193.248172,vwap_tradable_v1,"{""big_bull_line"": 6.0, ""max_close_ret"": 12.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 8, ""strong_line"": 3.0, ""x15_multiplier"": 1.2}"
activity_breakout,default,fixed_60,60,5201,388563,0.441550,0.021685,-0.166785,0.130017,0.020681,0.002604,44.506241,194.314728,vwap_tradable_v1,{}
activity_breakout,default,fixed_20,20,5201,406150,0.470102,0.013159,-0.103052,0.127693,0.020645,0.003902,41.075579,185.802705,vwap_tradable_v1,{}
activity_breakout,strict_capped,fixed_20,20,5201,179973,0.469443,0.011200,-0.098871,0.113278,0.017253,0.003601,40.041102,132.397142,vwap_tradable_v1,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
activity_breakout,default,fixed_30,30,5201,401382,0.449868,0.012421,-0.124598,0.099693,0.020669,0.004250,39.956066,190.177446,vwap_tradable_v1,{}
activity_breakout,strict_capped,fixed_30,30,5201,177933,0.452592,0.012120,-0.119942,0.101052,0.017265,0.003602,39.934486,132.673462,vwap_tradable_v1,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
activity_breakout,classic_capped,fixed_20,20,5201,225924,0.468095,0.010942,-0.098729,0.110825,0.019812,0.003740,39.832257,192.570327,vwap_tradable_v1,"{""big_bull_line"": 6.0, ""max_close_ret"": 12.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 8, ""strong_line"": 3.0, ""x15_multiplier"": 1.2}"
activity_breakout,classic_capped,fixed_30,30,5201,223229,0.451648,0.011898,-0.119771,0.099339,0.019841,0.004211,39.754571,192.909852,vwap_tradable_v1,"{""big_bull_line"": 6.0, ""max_close_ret"": 12.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 8, ""strong_line"": 3.0, ""x15_multiplier"": 1.2}"
activity_breakout,default,fixed_15,15,5201,408283,0.475903,0.009564,-0.091518,0.104507,0.020625,0.003409,39.341422,181.440529,vwap_tradable_v1,{}
