formula_id,variant_id,stock_code,sell_rule,holding_days,signal_count,win_rate,avg_ret,avg_dd,calmar,delay_buy_rate,delay_sell_rate,score,params
activity_breakout,strict_capped,000001,fixed_10,10,10,0.400000,-0.001130,-0.003170,-0.226000,0.000000,0.000000,29.604681,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
gs_pullback_confirm,default,000001,fixed_5,5,4,0.000000,-0.012750,0.000000,-2.550000,0.000000,0.000000,-6.171291,{}
gs_raw_buy,wide_band_cooldown,000001,formula_exit_or_20,20,37,0.297297,0.011441,-0.005773,1.981742,0.000000,0.000000,44.547897,"{""down_adjust"": 0.97, ""iterations"": 8, ""signal_cooldown_days"": 12, ""up_adjust"": 1.03}"
volume_base_breakout,strict_two_month_box,000001,fixed_5,5,3,1.000000,0.018033,-0.004367,3.606667,0.000000,0.000000,68.207718,"{""amount_spike_ratio"": 3.0, ""base_ceiling"": 1.25, ""base_floor"": 0.85, ""base_max_days"": 90, ""base_min_days"": 35, ""base_range_max"": 0.3, ""breakout_max_extension"": 1.06, ""breakout_near_high"": 0.97, ""dry_ratio"": 0.4, ""signal_cooldown_days"": 15, ""spike_lookback"": 90, ""spike_ratio"": 3.0, ""warm_ret_max"": 0.2, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 1.0}"
activity_breakout,strict_capped,000002,formula_exit_or_5,5,30,0.400000,0.011787,-0.028160,0.418561,0.033333,0.000000,39.652803,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
gs_raw_buy,fast_x3_cooldown,000002,formula_exit_or_15,15,40,0.300000,0.014908,-0.027823,0.535807,0.000000,0.000000,39.132787,"{""ema_fallback_span"": 3, ""iterations"": 8, ""signal_cooldown_days"": 8, ""x3_ma_windows"": [3, 5, 10, 20]}"
ma_base_breakout,strict_120_180,000002,fixed_15,15,1,1.000000,0.001600,-0.069900,0.022890,0.000000,0.000000,36.493308,"{""below_days_min"": 60, ""long_ma"": 180, ""ma5_rising_min"": 10, ""mid_ma"": 120, ""price_top_buffer"": 1.03, ""short_ma"": 8}"
volume_base_breakout,long_quiet_box,000002,fixed_5,5,1,1.000000,0.006100,-0.034900,0.174785,0.000000,0.000000,39.502784,"{""amount_spike_ratio"": 2.5, ""base_ceiling"": 1.3, ""base_floor"": 0.82, ""base_max_days"": 110, ""base_min_days"": 45, ""base_range_max"": 0.32, ""breakout_near_high"": 0.95, ""dry_ratio"": 0.45, ""signal_cooldown_days"": 15, ""spike_lookback"": 120, ""spike_ratio"": 2.5, ""warm_ret_max"": 0.22, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.9}"
activity_breakout,default,000004,formula_exit_or_10,10,120,0.408333,0.004262,-0.057484,0.074151,0.050000,0.016667,34.085338,{}
gs_pullback_confirm,default,000004,fixed_15,15,14,0.571429,0.154986,-0.114857,1.349378,0.285714,0.000000,66.032605,{}
gs_raw_buy,medium_x3_cooldown,000004,fixed_15,15,36,0.472222,0.009225,-0.108833,0.084763,0.055556,0.000000,38.647424,"{""ema_fallback_span"": 5, ""iterations"": 10, ""signal_cooldown_days"": 10, ""x3_ma_windows"": [5, 10, 20, 30]}"
ma_base_breakout,early_60_120,000004,fixed_10,10,1,1.000000,0.211500,-0.023200,9.116379,0.000000,0.000000,80.578859,"{""below_days_min"": 30, ""breakout_recent_days"": 5, ""long_ma"": 120, ""ma5_rising_min"": 5, ""mid_ma"": 60, ""short_ma"": 3}"
volume_base_breakout,long_quiet_box,000004,fixed_5,5,2,1.000000,0.090500,-0.020950,4.319809,0.000000,0.000000,83.842282,"{""amount_spike_ratio"": 2.5, ""base_ceiling"": 1.3, ""base_floor"": 0.82, ""base_max_days"": 110, ""base_min_days"": 45, ""base_range_max"": 0.32, ""breakout_near_high"": 0.95, ""dry_ratio"": 0.45, ""signal_cooldown_days"": 15, ""spike_lookback"": 120, ""spike_ratio"": 2.5, ""warm_ret_max"": 0.22, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.9}"
activity_breakout,default,000006,fixed_60,60,93,0.440860,0.064918,-0.160811,0.403694,0.043011,0.000000,59.814167,{}
gs_pullback_confirm,loose,000006,fixed_10,10,8,0.500000,-0.020813,-0.126812,-0.164120,0.000000,0.000000,21.457713,"{""ma_pull_high"": 1.02, ""ma_pull_low"": 0.7, ""maxrun_max"": 10, ""rate_min"": 30, ""sellpct_max"": 70}"
gs_raw_buy,medium_x3_cooldown,000006,fixed_60,60,31,0.580645,0.185800,-0.130413,1.424706,0.000000,0.000000,69.542883,"{""ema_fallback_span"": 5, ""iterations"": 10, ""signal_cooldown_days"": 10, ""x3_ma_windows"": [5, 10, 20, 30]}"
ma_base_breakout,default,000006,formula_exit_or_5,5,1,1.000000,0.001000,-0.019900,0.050251,0.000000,0.000000,36.330115,{}
volume_base_breakout,case_301511_broad,000006,fixed_60,60,14,0.785714,0.639571,-0.102986,6.210293,0.071429,0.000000,87.857143,"{""amount_spike_ratio"": 2.2, ""base_ceiling"": 1.45, ""base_floor"": 0.78, ""base_max_days"": 75, ""base_min_days"": 25, ""base_range_max"": 0.4, ""breakout_max_extension"": 1.1, ""breakout_near_high"": 0.92, ""dry_ratio"": 0.5, ""spike_lookback"": 90, ""spike_ratio"": 2.2, ""warm_ret_max"": 0.28, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.8}"
activity_breakout,default,000007,fixed_60,60,84,0.726190,0.126925,-0.112049,1.132765,0.023810,0.000000,72.211445,{}
gs_pullback_confirm,default,000007,fixed_60,60,4,1.000000,0.224100,-0.054925,4.080109,0.000000,0.000000,87.953709,{}
gs_raw_buy,fast_x3_cooldown,000007,fixed_60,60,49,0.591837,0.051931,-0.137053,0.378909,0.000000,0.020408,64.445564,"{""ema_fallback_span"": 3, ""iterations"": 8, ""signal_cooldown_days"": 8, ""x3_ma_windows"": [3, 5, 10, 20]}"
volume_base_breakout,strict_two_month_box,000007,formula_exit_or_60,60,2,0.500000,0.193400,-0.053300,3.628518,0.000000,0.000000,66.984871,"{""amount_spike_ratio"": 3.0, ""base_ceiling"": 1.25, ""base_floor"": 0.85, ""base_max_days"": 90, ""base_min_days"": 35, ""base_range_max"": 0.3, ""breakout_max_extension"": 1.06, ""breakout_near_high"": 0.97, ""dry_ratio"": 0.4, ""signal_cooldown_days"": 15, ""spike_lookback"": 90, ""spike_ratio"": 3.0, ""warm_ret_max"": 0.2, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 1.0}"
activity_breakout,default,000008,fixed_20,20,58,0.362069,-0.004867,-0.093179,-0.052235,0.051724,0.000000,27.650031,{}
gs_raw_buy,medium_x3_cooldown,000008,fixed_60,60,45,0.444444,0.002618,-0.097302,0.026904,0.000000,0.000000,34.776740,"{""ema_fallback_span"": 5, ""iterations"": 10, ""signal_cooldown_days"": 10, ""x3_ma_windows"": [5, 10, 20, 30]}"
ma_base_breakout,strict_120_180,000008,fixed_60,60,1,1.000000,0.277300,-0.120400,2.303156,0.000000,0.000000,72.094640,"{""below_days_min"": 60, ""long_ma"": 180, ""ma5_rising_min"": 10, ""mid_ma"": 120, ""price_top_buffer"": 1.03, ""short_ma"": 8}"
volume_base_breakout,default_broad,000008,fixed_60,60,42,0.500000,0.015076,-0.091843,0.164152,0.023810,0.000000,43.120760,{}
activity_breakout,default,000009,formula_exit_or_10,10,56,0.500000,0.017218,-0.035936,0.479129,0.017857,0.000000,45.826004,{}
gs_pullback_confirm,strict,000009,fixed_5,5,5,1.000000,0.119280,-0.026560,4.490964,0.200000,0.000000,87.421141,"{""ma_pull_high"": 0.98, ""ma_pull_low"": 0.85, ""maxlen_max"": 15, ""maxrun_max"": 6, ""rate_min"": 50, ""sellpct_max"": 50}"
gs_raw_buy,wide_band_cooldown,000009,formula_exit_or_30,30,37,0.432432,0.021211,-0.027332,0.776031,0.027027,0.000000,47.188262,"{""down_adjust"": 0.97, ""iterations"": 8, ""signal_cooldown_days"": 12, ""up_adjust"": 1.03}"
ma_base_breakout,default,000009,fixed_20,20,3,0.666667,0.013400,-0.029867,0.448661,0.000000,0.000000,40.101021,{}
volume_base_breakout,strict_two_month_box,000009,fixed_15,15,1,1.000000,0.199700,-0.018600,10.736559,0.000000,0.000000,80.578859,"{""amount_spike_ratio"": 3.0, ""base_ceiling"": 1.25, ""base_floor"": 0.85, ""base_max_days"": 90, ""base_min_days"": 35, ""base_range_max"": 0.3, ""breakout_max_extension"": 1.06, ""breakout_near_high"": 0.97, ""dry_ratio"": 0.4, ""signal_cooldown_days"": 15, ""spike_lookback"": 90, ""spike_ratio"": 3.0, ""warm_ret_max"": 0.2, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 1.0}"
activity_breakout,strict_capped,000010,fixed_60,60,49,0.489796,0.031753,-0.187937,0.168956,0.020408,0.000000,51.211107,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
